Series_reference,Period,Data_value,STATUS_status,UNITS_units,Subject_subject,Group_grp,Series_title_1,UniqueNumber
CPIQ.SE901,1941.09,21.04394757,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,110
CPIQ.SE901,1941.12,21.98736398,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,111
CPIQ.SE901,1942.03,21.00544149,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,112
CPIQ.SE901,1942.06,21.29424164,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,113
CPIQ.SE901,1942.09,21.77557675,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,114
CPIQ.SE901,1942.12,22.58421884,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,115
CPIQ.SE901,1943.03,21.52528267,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,116
CPIQ.SE901,1943.06,21.42901596,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,117
CPIQ.SE901,1943.09,21.87184347,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,118
CPIQ.SE901,1943.12,22.48795137,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,119
CPIQ.SE901,1944.03,21.8910965,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,120
CPIQ.SE901,1944.06,21.85258967,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,121
CPIQ.SE901,1944.09,22.0836307,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,122
CPIQ.SE901,1944.12,22.6997386,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,123
CPIQ.SE901,1945.03,21.81408359,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,124
CPIQ.SE901,1945.06,21.98736398,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,125
CPIQ.SE901,1945.09,22.14139058,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,126
CPIQ.SE901,1945.12,22.66123176,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,127
CPIQ.SE901,1946.03,21.8910965,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,128
CPIQ.SE901,1946.06,21.98736398,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,129
CPIQ.SE901,1946.09,22.23765805,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,130
CPIQ.SE901,1946.12,22.50720517,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,131
CPIQ.SE901,1947.03,22.17989742,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,132
CPIQ.SE901,1947.06,22.29541793,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,133
CPIQ.SE901,1947.09,22.7189924,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,134
CPIQ.SE901,1947.12,27.12801672,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,135
CPIQ.SE901,1948.03,26.06908131,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,136
CPIQ.SE901,1948.06,26.55041565,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,137
CPIQ.SE901,1948.09,26.81996277,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,138
CPIQ.SE901,1948.12,26.76220289,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,139
CPIQ.SE901,1949.03,26.74294909,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,140
CPIQ.SE901,1949.06,26.9301497,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,141
CPIQ.SE901,1949.09,27.73243845,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,142
CPIQ.SE901,1949.12,27.99986778,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,143
CPIQ.SE901,1950.03,27.5987234,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,144
CPIQ.SE901,1950.06,29.3370152,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,145
CPIQ.SE901,1950.09,31.18227888,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,146
CPIQ.SE901,1950.12,32.06479635,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,147
CPIQ.SE901,1951.03,32.1985114,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,148
CPIQ.SE901,1951.06,33.80308815,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,149
CPIQ.SE901,1951.09,35.27395061,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,150
CPIQ.SE901,1951.12,36.95875608,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,151
CPIQ.SE901,1952.03,36.71806915,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,152
CPIQ.SE901,1952.06,37.78778723,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,153
CPIQ.SE901,1952.09,38.56333283,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,154
CPIQ.SE901,1952.12,39.09819225,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,155
CPIQ.SE901,1953.03,38.91099164,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,156
CPIQ.SE901,1953.06,39.63305091,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,157
CPIQ.SE901,1953.09,40.43533967,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,158
CPIQ.SE901,1953.12,42.38757447,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,159
CPIQ.SE901,1954.03,41.53180015,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,160
CPIQ.SE901,1954.06,42.73523328,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,161
CPIQ.SE901,1954.09,42.89569073,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,162
CPIQ.SE901,1954.12,42.60151824,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,163
CPIQ.SE901,1955.03,42.81546201,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,164
